名称,J_shopt href,地址,city,经纬度,tel,time,北京树村丽景苑距离,北京树村丽景苑时间,北京海淀区万家灯火大厦距离,北京海淀区万家灯火大厦时间,北京海淀区上地5号咖啡厅距离,北京海淀区上地5号咖啡厅时间
腊罗巴云南菜,https://www.dianping.com/shop/G4lXoQ67BUao6pd3,皂君庙路皂君西里7号楼南侧,[北京],"116.334752,39.959104",62120281,昨天20:58,13.27 km,24 min,15.83 km,63 min,9.76 km,40 min
蜗牛小馆醉乡民谣云南菜,https://www.dianping.com/shop/l1UISZRsVtnd18zM,安苑路惠新西里一区2号楼瑞尔利宾馆1层,[北京],"116.421417,39.982041",13146759566,昨天20:50,19.52 km,31 min,18.36 km,72 min,14.78 km,62 min
星爺渔荘·廣東順德菜,https://www.dianping.com/shop/k9G1xDaln5SCJkvi,朝阳门内大街75号院佳龙酒店B座首层,[北京],"116.430883,39.925111",18810686368,昨天16:32,22.62 km,42 min,25.09 km,96 min,21.51 km,72 min
星爺排檔·廣東順德菜,https://www.dianping.com/shop/G406Oo6nCe2J5kZm,慧忠里231号楼,[北京],"116.406311,40.000984",13161629988,昨天16:31,13.79 km,29 min,15.80 km,64 min,12.18 km,47 min
CozyCow,https://www.dianping.com/shop/l7h26xbt2elb24kc,团结湖街道团结湖路14号团结新里together17-102,[北京],"116.467215,39.929891",13683133127,2024/7/21 17:36,23.66 km,46 min,26.13 km,93 min,22.55 km,77 min
薇酌饮·陕西菜,https://www.dianping.com/shop/k3W2VXemDzPbNO9u,环城南路西段南门外护城河畔映像公园榴园一层东北角,[西安],"108.949053,34.250620",81540933,2024/7/21 11:25,,,,,,
GRACE COFFEE ROASTER,https://www.dianping.com/shop/G87QnPZrzS82vxsX,西环大街西秀园北排59号商铺(美宜佳便利店),[广州],"113.351622,22.937460",31066296,2024/7/21 11:24,,,,,,
BOCATA by Carmen,https://www.dianping.com/shop/FGOOhwAaIY4KIcx0,东直门外大街12号东门小楼1层（卡塔尔大使馆对面）,[北京],"120.224156,26.987815",64175291,2024/7/20 21:42,1740.47 km,1139 min,1746.55 km,1192 min,1741.10 km,1177 min
苏泰·辣椒餐厅,https://www.dianping.com/shop/l9EdVaB0jnrrkude,永定路66号长峰假日酒店1层,[北京],"116.265172,39.909055",88213345,2024/7/20 21:41,17.85 km,28 min,20.55 km,78 min,18.48 km,61 min
苏泰·辣椒,https://www.dianping.com/shop/Fc29dDePhsZV8CLV,麦子店西街38号三全公寓1层,[北京],"116.467050,39.947523",65077326,2024/7/20 21:41,22.44 km,43 min,24.91 km,84 min,21.34 km,69 min
Grande A'moo,https://www.dianping.com/shop/l47BGrkMn8pV4dkU,常通路1号龙湖北京长楹天街西区一楼8号门旁,[北京],"116.596852,39.924866",15901393623,2024/7/20 11:54,34.14 km,72 min,36.14 km,114 min,32.53 km,95 min
向富贵烧烤,https://www.dianping.com/shop/G5i4xrSdaP9Y41Cv,湖滨路6号附37、39号,[重庆],"106.558084,29.525315",62973519,2024/7/19 15:12,,,,,,
子午路张记肉夹馍,https://www.dianping.com/shop/G88jwPmPTrNCwP0w,建设东路3号西安高级职业技术培训中心西侧,[西安],"108.970797,34.235861",15209224279,2024/7/18 10:13,,,,,,
