名称,J_shopt href,地址,city,tel,time,北京树村丽景苑距离,北京树村丽景苑时间,北京海淀区万家灯火大厦距离,北京海淀区万家灯火大厦时间,北京海淀区上地5号咖啡厅距离,北京海淀区上地5号咖啡厅时间
腊罗巴云南菜,https://www.dianping.com/shop/G4lXoQ67BUao6pd3,皂君庙路皂君西里7号楼南侧,[北京],62120281,昨天20:58,13.27 km,24 min,15.83 km,63 min,9.76 km,40 min
蜗牛小馆醉乡民谣云南菜,https://www.dianping.com/shop/l1UISZRsVtnd18zM,安苑路惠新西里一区2号楼瑞尔利宾馆1层,[北京],13146759566,昨天20:50,19.52 km,31 min,18.36 km,72 min,14.78 km,62 min
星爺渔荘·廣東順德菜,https://www.dianping.com/shop/k9G1xDaln5SCJkvi,朝阳门内大街75号院佳龙酒店B座首层,[北京],18810686368,昨天16:32,22.62 km,42 min,25.09 km,96 min,21.51 km,72 min
星爺排檔·廣東順德菜,https://www.dianping.com/shop/G406Oo6nCe2J5kZm,慧忠里231号楼,[北京],13161629988,昨天16:31,13.79 km,29 min,15.80 km,64 min,12.18 km,47 min
CozyCow,https://www.dianping.com/shop/l7h26xbt2elb24kc,团结湖街道团结湖路14号团结新里together17-102,[北京],13683133127,2024/7/21 17:36,23.66 km,46 min,26.13 km,93 min,22.55 km,77 min
BOCATA by Carmen,https://www.dianping.com/shop/FGOOhwAaIY4KIcx0,东直门外大街12号东门小楼1层（卡塔尔大使馆对面）,[北京],64175291,2024/7/20 21:42,1740.47 km,1139 min,1746.55 km,1192 min,1741.10 km,1177 min
苏泰·辣椒餐厅,https://www.dianping.com/shop/l9EdVaB0jnrrkude,永定路66号长峰假日酒店1层,[北京],88213345,2024/7/20 21:41,17.85 km,28 min,20.55 km,78 min,18.48 km,61 min
苏泰·辣椒,https://www.dianping.com/shop/Fc29dDePhsZV8CLV,麦子店西街38号三全公寓1层,[北京],65077326,2024/7/20 21:41,22.44 km,43 min,24.91 km,84 min,21.34 km,69 min
Grande A'moo,https://www.dianping.com/shop/l47BGrkMn8pV4dkU,常通路1号龙湖北京长楹天街西区一楼8号门旁,[北京],15901393623,2024/7/20 11:54,34.14 km,72 min,36.14 km,114 min,32.53 km,95 min
湘临天下,https://www.dianping.com/shop/G3yDTj3yvrk1v80V,建国路128号中航工业大厦2层,[北京],65120999,2024/7/15 23:53,33.35 km,57 min,28.82 km,104 min,25.25 km,91 min
胶东刘妈妈肉汁饺子,https://www.dianping.com/shop/l8NXi4o7L0mDfHss,798艺术区3818库（悦美术馆对面冰淇淋饮料店后面的小胡同里）,[北京],15953551403,2024/7/10 11:31,22.73 km,48 min,25.88 km,101 min,22.27 km,83 min
泸州幺妹私房菜,https://www.dianping.com/shop/G7QrVYG45X3FYSOC,学院路37号,[北京],18201061371,2024/7/10 11:02,12.06 km,21 min,13.43 km,55 min,7.76 km,33 min
盛中钰广味小馆,https://www.dianping.com/shop/G4F3o7XktSE7x7MY,革新里60号盛购文体礼品中心,[北京],67069168,2024/7/9 10:46,29.82 km,49 min,32.07 km,98 min,30.45 km,85 min
马年代涮肉小海鲜,https://www.dianping.com/shop/k8PX4jEtbXnNUYUi,庑殿路10号院1-9,[北京],17170133666,2024/7/8 20:37,41.22 km,50 min,43.92 km,105 min,41.85 km,92 min
南昌花姐小吃·拌粉·水煮,https://www.dianping.com/shop/k2Og3UVvAWwijmPw,郁花园一里底商21号楼1-102,[北京],15079077530,2024/7/8 20:35,43.18 km,48 min,49.27 km,108 min,43.81 km,93 min
安妮意大利餐厅,https://www.dianping.com/shop/l8Wegnb7sZobtRXg,成府路35号东源大厦3层（近五道口地铁站）,[北京],62573122,2024/7/8 9:29,8.28 km,22 min,12.47 km,52 min,6.80 km,30 min
利桥顺酒楼,https://www.dianping.com/shop/G93IiQWXaiu9EowH,学院路街道志新路16号(北方鑫柜西侧),[北京],82380050,2024/7/8 9:28,9.83 km,23 min,12.81 km,53 min,8.35 km,32 min
多味居,https://www.dianping.com/shop/k6qgMjDQExfT75tR,府学胡同与中剪子巷交叉口西南角,[北京],64065305,2024/7/8 9:27,19.01 km,42 min,21.48 km,82 min,17.91 km,63 min
北平楼烤鸭·京菜,https://www.dianping.com/shop/k6Myr1ttLWr9bcKx,花园路街道牡丹园西里16号楼1-2层（牡丹园地铁站F口步行200米）,[北京],82082197,2024/7/8 9:27,14.95 km,26 min,15.38 km,58 min,11.81 km,40 min
清真·鸦儿李记·涮肉,https://www.dianping.com/shop/G3jqOKHidE7IeCRo,和平里西街67号（近地铁5号线和平里北街站）,[北京],64295466,2024/7/8 9:25,17.52 km,33 min,20.00 km,70 min,16.42 km,53 min
福叁咖啡&小红帽三明治,https://www.dianping.com/shop/laKgmeBMpQvW3WDy,美术馆东街22号北配楼1层,[北京],15901088582,2024/7/7 13:06,19.88 km,44 min,22.36 km,86 min,18.78 km,66 min
拉蒂娜·巴西牛排馆 Latina·Brazilian Steakhouse,https://www.dianping.com/shop/k1B0wQY3UeBscMOn,东方东路19号亮马桥外交办公大楼官舍2楼201号,[北京],85315287,2024/7/6 10:19,21.49 km,40 min,23.96 km,80 min,20.39 km,64 min
北焰牛排馆·BBQ烤房 FireWorks,https://www.dianping.com/shop/l6WCOpGAlFti0r5T,北苑路18号院4号楼1层4、5号（地铁5号线立水桥南站C口往北50米辅路路东）,[北京],64112665,2024/7/6 9:48,14.24 km,37 min,16.25 km,69 min,12.63 km,53 min
曦彤轩饭店,https://www.dianping.com/shop/H6oTVdICVsNEeOzi,崇文门东大街8-1号,[北京],18515464723,2024/7/5 22:10,27.68 km,57 min,29.06 km,110 min,25.48 km,89 min
许太阳炸鸡拌面,https://www.dianping.com/shop/kat8rE6QnWQWKP8d,阜成门外大街2号万通金融中心负一层顺天府超市出口许太阳炸鸡店,[北京],13683571830,2024/7/4 11:53,17.99 km,33 min,20.73 km,73 min,18.63 km,51 min
第六季自助餐厅,https://www.dianping.com/shop/G5CTC8xkPnc5kofr,中关村大街27号中关村大厦2层,[北京],82888189,2024/7/3 23:55,8.06 km,21 min,10.10 km,43 min,6.58 km,27 min
Laksa Queen 叻沙娘娘,https://www.dianping.com/shop/G8EZt8YW64rQOHJU,霄云路后街15-75号,[北京],82062368,2024/7/3 17:40,143.92 km,124 min,151.50 km,140 min,142.31 km,161 min
黑知了Burning Fire,https://www.dianping.com/shop/k33JjNB6XpnVr3Bn,天泽路9号（美国大使馆东门对面）,[北京],17278151315,2024/7/3 17:39,25.52 km,41 min,26.27 km,94 min,22.65 km,77 min
黄金周·美味流香店,https://www.dianping.com/shop/G4kev1PpcKCiRDLE,育慧南路芍药居5号院9号楼（对外经贸大学东门对面）,[北京],13552944531,2024/7/3 17:18,19.81 km,29 min,22.81 km,78 min,19.20 km,65 min
鲁采LU STYLE,https://www.dianping.com/shop/iVSTrOVWJBX3eNMY,凤凰环路曙光西里甲5号院A1楼链家（凤凰汇店）北侧（曙光大厦对面）,[北京],21751888,2024/7/3 14:55,25.05 km,37 min,25.79 km,89 min,22.18 km,74 min
